time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
22,8.0,14.0,9.0,13.0,6.0,4.0,7.0,48.0,17.0,3.0,6.0,9.0,3.0,5
23,13.0,7.0,8.0,11.0,6.0,4.0,10.0,49.0,17.0,10.0,5.0,4.0,3.0,5
24,8.0,9.0,15.0,8.0,9.0,2.0,6.0,42.0,12.0,7.0,3.0,8.0,3.0,5
25,9.0,8.0,9.0,12.0,11.0,4.0,3.0,53.0,17.0,8.0,2.0,12.0,3.0,5
26,6.0,12.0,6.0,14.0,9.0,8.0,3.0,56.0,13.0,9.0,5.0,10.0,3.0,5
27,8.0,9.0,9.0,10.0,8.0,6.0,5.0,51.0,11.0,11.0,5.0,12.0,3.0,5
28,5.0,4.0,3.0,3.0,2.0,1.0,3.0,19.0,8.0,4.0,7.0,5.0,3.0,5
29,8.0,11.0,7.0,8.0,9.0,7.0,3.0,55.0,9.0,11.0,8.0,5.0,3.0,5
30,6.0,5.0,5.0,8.0,4.0,7.0,9.0,48.0,13.0,10.0,9.0,7.0,3.0,5
31,5.0,6.0,6.0,8.0,6.0,7.0,5.0,52.0,14.0,8.0,15.0,8.0,3.0,5
32,1.0,5.0,6.0,6.0,13.0,7.0,6.0,61.0,17.0,12.0,9.0,10.0,3.0,5
33,12.0,5.0,4.0,4.0,10.0,8.0,3.0,60.0,8.0,14.0,10.0,7.0,3.0,5
34,6.0,2.0,4.0,14.0,7.0,10.0,4.0,51.0,10.0,14.0,11.0,9.0,3.0,5
35,11.0,5.0,8.0,7.0,5.0,11.0,5.0,45.0,9.0,8.0,13.0,5.0,3.0,5
36,11.0,8.0,9.0,7.0,7.0,4.0,4.0,53.0,14.0,9.0,9.0,5.0,3.0,5
37,10.0,3.0,5.0,12.0,8.0,10.0,0.0,59.0,18.0,16.0,9.0,5.0,3.0,5
38,8.0,2.0,6.0,11.0,11.0,9.0,3.0,57.0,15.0,9.0,10.0,5.0,3.0,5
39,6.0,5.0,4.0,12.0,5.0,11.0,2.0,55.0,15.0,8.0,16.0,4.0,3.0,5
40,5.0,3.0,4.0,12.0,12.0,9.0,4.0,56.0,10.0,15.0,11.0,5.0,3.0,5
41,7.0,5.0,4.0,6.0,4.0,9.0,3.0,57.0,11.0,19.0,12.0,6.0,3.0,5
42,12.0,2.0,7.0,7.0,4.0,8.0,4.0,53.0,19.0,8.0,8.0,9.0,3.0,5
43,5.0,5.0,7.0,12.0,5.0,8.0,3.0,59.0,12.0,13.0,10.0,3.0,3.0,5
44,10.0,5.0,4.0,13.0,8.0,11.0,5.0,50.0,11.0,10.0,11.0,7.0,3.0,5
45,7.0,8.0,8.0,5.0,6.0,10.0,3.0,55.0,16.0,7.0,11.0,9.0,3.0,5
46,8.0,2.0,3.0,7.0,7.0,11.0,7.0,56.0,17.0,3.0,4.0,7.0,3.0,5
47,8.0,3.0,1.0,6.0,12.0,10.0,3.0,58.0,9.0,12.0,17.0,7.0,3.0,5
48,7.0,4.0,6.0,10.0,7.0,11.0,4.0,60.0,15.0,17.0,2.0,11.0,3.0,5
49,8.0,5.0,4.0,6.0,11.0,8.0,8.0,56.0,8.0,13.0,12.0,6.0,3.0,5
50,12.0,5.0,8.0,8.0,12.0,12.0,3.0,56.0,11.0,9.0,5.0,7.0,3.0,5
51,17.0,7.0,2.0,5.0,4.0,11.0,3.0,52.0,13.0,11.0,8.0,5.0,3.0,5
52,9.0,2.0,8.0,10.0,8.0,8.0,4.0,49.0,7.0,14.0,11.0,8.0,3.0,5
53,8.0,3.0,4.0,10.0,7.0,13.0,3.0,55.0,15.0,10.0,12.0,8.0,3.0,5
54,8.0,3.0,6.0,8.0,11.0,7.0,5.0,56.0,9.0,16.0,8.0,9.0,3.0,5
55,6.0,8.0,10.0,11.0,8.0,5.0,6.0,53.0,13.0,9.0,8.0,2.0,3.0,5
1,6.0,10.0,3.0,10.0,8.0,4.0,9.0,52.0,15.0,9.0,8.0,9.0,2.0,6
2,5.0,5.0,4.0,10.0,13.0,4.0,6.0,53.0,14.0,8.0,8.0,7.0,2.0,6
3,5.0,12.0,5.0,9.0,9.0,12.0,3.0,61.0,8.0,13.0,10.0,7.0,2.0,6
4,5.0,8.0,4.0,11.0,14.0,6.0,8.0,53.0,12.0,6.0,7.0,10.0,2.0,6
5,6.0,10.0,2.0,15.0,7.0,8.0,3.0,47.0,12.0,4.0,11.0,9.0,2.0,6
6,8.0,11.0,5.0,11.0,10.0,6.0,6.0,50.0,10.0,6.0,8.0,11.0,2.0,6
7,10.0,10.0,3.0,13.0,7.0,5.0,7.0,43.0,9.0,4.0,13.0,11.0,2.0,6
8,8.0,3.0,1.0,13.0,7.0,8.0,11.0,42.0,8.0,7.0,12.0,4.0,2.0,6
9,9.0,5.0,5.0,11.0,8.0,15.0,8.0,51.0,14.0,5.0,6.0,9.0,2.0,6
10,6.0,7.0,3.0,13.0,15.0,10.0,2.0,59.0,13.0,3.0,8.0,8.0,2.0,6
11,11.0,10.0,6.0,6.0,6.0,9.0,8.0,46.0,7.0,5.0,9.0,14.0,2.0,6
12,5.0,8.0,1.0,10.0,8.0,7.0,9.0,56.0,16.0,3.0,8.0,3.0,2.0,6
