,Unnamed: 0,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
86,86.0,32.0,5.0,11.0,6.0,4.0,3.0,3.0,7.0,54.0,25.0,4.0,14.0,9.0,2.5,6
87,87.0,33.0,2.0,7.0,6.0,11.0,4.0,3.0,11.0,53.0,21.0,7.0,9.0,7.0,2.5,6
88,88.0,34.0,3.0,9.0,18.0,2.0,5.0,2.0,12.0,41.0,12.0,8.0,7.0,13.0,2.5,6
89,89.0,35.0,4.0,12.0,10.0,7.0,4.0,1.0,5.0,54.0,22.0,6.0,7.0,10.0,2.5,6
90,90.0,36.0,2.0,11.0,9.0,6.0,3.0,1.0,8.0,51.0,21.0,5.0,13.0,10.0,2.5,6
91,91.0,37.0,7.0,12.0,12.0,7.0,2.0,4.0,12.0,35.0,10.0,3.0,9.0,18.0,2.5,6
92,92.0,38.0,9.0,8.0,11.0,5.0,4.0,2.0,11.0,41.0,17.0,4.0,9.0,14.0,2.5,6
93,93.0,39.0,3.0,9.0,7.0,6.0,3.0,2.0,11.0,41.0,21.0,3.0,14.0,12.0,2.5,6
94,94.0,40.0,2.0,8.0,8.0,4.0,4.0,2.0,14.0,44.0,23.0,2.0,11.0,15.0,2.5,6
95,95.0,41.0,6.0,7.0,5.0,4.0,7.0,2.0,3.0,56.0,24.0,7.0,10.0,15.0,2.5,6
96,96.0,42.0,5.0,7.0,7.0,9.0,4.0,2.0,10.0,43.0,19.0,2.0,11.0,15.0,2.5,6
97,97.0,43.0,4.0,4.0,5.0,10.0,5.0,2.0,7.0,55.0,25.0,7.0,9.0,9.0,2.5,6
98,98.0,44.0,4.0,4.0,12.0,7.0,6.0,2.0,7.0,41.0,18.0,6.0,13.0,10.0,2.5,6
99,99.0,45.0,11.0,8.0,7.0,8.0,6.0,2.0,12.0,43.0,18.0,4.0,7.0,11.0,2.5,6
100,100.0,46.0,3.0,12.0,8.0,7.0,5.0,3.0,7.0,50.0,22.0,3.0,15.0,10.0,2.5,6
101,101.0,47.0,5.0,11.0,7.0,5.0,6.0,1.0,13.0,45.0,19.0,2.0,10.0,14.0,2.5,6
102,102.0,48.0,2.0,14.0,8.0,6.0,5.0,1.0,10.0,56.0,25.0,5.0,7.0,10.0,2.5,6
103,103.0,49.0,8.0,10.0,14.0,5.0,4.0,2.0,10.0,46.0,18.0,6.0,8.0,9.0,2.5,6
