,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
21,22.0,9.0,6.0,9.0,10.0,8.0,4.0,2.0,53.0,13.0,9.0,6.0,7.0,2.5,6
22,23.0,10.0,8.0,6.0,9.0,7.0,12.0,5.0,56.0,15.0,10.0,6.0,8.0,2.5,6
23,24.0,10.0,5.0,7.0,10.0,7.0,7.0,9.0,47.0,17.0,7.0,6.0,8.0,2.5,6
24,25.0,6.0,7.0,12.0,16.0,7.0,8.0,8.0,48.0,13.0,6.0,6.0,4.0,2.5,6
25,26.0,9.0,7.0,7.0,8.0,11.0,7.0,7.0,59.0,20.0,4.0,5.0,5.0,2.5,6
26,27.0,9.0,7.0,8.0,8.0,8.0,6.0,8.0,48.0,20.0,4.0,3.0,6.0,2.5,6
27,28.0,8.0,7.0,9.0,6.0,6.0,8.0,11.0,48.0,11.0,6.0,11.0,7.0,2.5,6
28,29.0,3.0,9.0,9.0,10.0,10.0,6.0,9.0,54.0,12.0,15.0,9.0,6.0,2.5,6
29,30.0,6.0,11.0,6.0,8.0,5.0,8.0,6.0,50.0,13.0,5.0,11.0,6.0,2.5,6
30,31.0,7.0,12.0,7.0,8.0,7.0,7.0,6.0,49.0,10.0,10.0,9.0,13.0,2.5,6
31,32.0,3.0,8.0,7.0,9.0,8.0,10.0,11.0,49.0,14.0,4.0,8.0,12.0,2.5,6
32,33.0,12.0,5.0,5.0,8.0,7.0,5.0,7.0,46.0,14.0,4.0,10.0,11.0,2.5,6
33,34.0,8.0,5.0,9.0,8.0,9.0,9.0,8.0,54.0,10.0,13.0,4.0,9.0,2.5,6
34,35.0,7.0,8.0,6.0,11.0,6.0,3.0,7.0,48.0,13.0,10.0,4.0,9.0,2.5,6
35,36.0,4.0,10.0,8.0,6.0,10.0,6.0,6.0,62.0,20.0,11.0,6.0,8.0,2.5,6
36,37.0,8.0,7.0,4.0,6.0,9.0,6.0,8.0,56.0,16.0,8.0,9.0,9.0,2.5,6
37,38.0,10.0,4.0,5.0,5.0,10.0,9.0,7.0,59.0,20.0,7.0,4.0,6.0,2.5,6
38,39.0,7.0,5.0,12.0,9.0,12.0,5.0,9.0,39.0,11.0,4.0,9.0,10.0,2.5,6
39,40.0,9.0,8.0,5.0,5.0,3.0,7.0,5.0,62.0,21.0,16.0,5.0,8.0,2.5,6
40,41.0,10.0,9.0,5.0,4.0,6.0,4.0,9.0,54.0,17.0,11.0,11.0,7.0,2.5,6
41,42.0,13.0,9.0,6.0,6.0,5.0,10.0,9.0,48.0,11.0,7.0,8.0,10.0,2.5,6
42,43.0,12.0,5.0,6.0,9.0,7.0,6.0,11.0,39.0,9.0,6.0,8.0,7.0,2.5,6
43,44.0,12.0,5.0,11.0,7.0,6.0,7.0,8.0,48.0,18.0,4.0,5.0,7.0,2.5,6
44,45.0,11.0,6.0,10.0,8.0,9.0,2.0,8.0,51.0,12.0,14.0,8.0,4.0,2.5,6
45,46.0,11.0,5.0,7.0,11.0,9.0,10.0,2.0,48.0,12.0,5.0,10.0,11.0,2.5,6
46,47.0,5.0,6.0,9.0,10.0,12.0,11.0,6.0,49.0,9.0,7.0,11.0,2.0,2.5,6
47,48.0,14.0,5.0,2.0,6.0,1.0,11.0,12.0,48.0,14.0,6.0,6.0,10.0,2.5,6
48,49.0,7.0,5.0,6.0,6.0,11.0,7.0,8.0,54.0,18.0,7.0,12.0,7.0,2.5,6
49,50.0,10.0,7.0,3.0,7.0,11.0,10.0,8.0,52.0,10.0,7.0,8.0,11.0,2.5,6
50,51.0,9.0,9.0,6.0,8.0,10.0,9.0,4.0,54.0,12.0,8.0,7.0,11.0,2.5,6
51,52.0,7.0,5.0,7.0,7.0,5.0,10.0,8.0,52.0,18.0,7.0,6.0,7.0,2.5,6
52,53.0,8.0,8.0,5.0,9.0,6.0,11.0,6.0,59.0,18.0,9.0,9.0,3.0,2.5,6
53,54.0,10.0,7.0,2.0,7.0,11.0,11.0,7.0,58.0,13.0,5.0,5.0,10.0,2.5,6
54,55.0,8.0,7.0,9.0,8.0,8.0,8.0,4.0,53.0,12.0,9.0,5.0,6.0,2.5,6
55,1.0,11.0,2.0,9.0,1.0,10.0,4.0,10.0,56.0,19.0,14.0,5.0,7.0,2.5,6
56,2.0,9.0,8.0,9.0,3.0,12.0,7.0,9.0,52.0,15.0,7.0,6.0,12.0,2.5,6
57,3.0,11.0,6.0,9.0,5.0,5.0,4.0,6.0,53.0,19.0,11.0,3.0,5.0,2.5,6
58,4.0,9.0,3.0,9.0,5.0,12.0,4.0,13.0,51.0,18.0,10.0,5.0,6.0,2.5,6
59,5.0,9.0,5.0,8.0,4.0,10.0,5.0,8.0,58.0,16.0,12.0,4.0,9.0,2.5,6
60,6.0,6.0,3.0,11.0,0.0,11.0,3.0,5.0,57.0,28.0,9.0,2.0,11.0,2.5,6
61,7.0,14.0,1.0,11.0,2.0,8.0,4.0,11.0,48.0,17.0,9.0,6.0,8.0,2.5,6
62,8.0,14.0,4.0,10.0,1.0,12.0,6.0,8.0,55.0,23.0,9.0,6.0,6.0,2.5,6
63,9.0,4.0,2.0,14.0,4.0,8.0,10.0,12.0,50.0,15.0,7.0,4.0,11.0,2.5,6
64,10.0,12.0,3.0,11.0,4.0,4.0,3.0,11.0,46.0,21.0,11.0,4.0,3.0,2.5,6
65,11.0,4.0,8.0,9.0,1.0,10.0,8.0,10.0,66.0,24.0,11.0,7.0,3.0,2.5,6
66,12.0,16.0,8.0,5.0,2.0,10.0,6.0,9.0,60.0,25.0,4.0,4.0,4.0,2.5,6
67,13.0,8.0,4.0,12.0,3.0,7.0,5.0,9.0,51.0,17.0,11.0,7.0,8.0,2.5,6
68,14.0,9.0,6.0,7.0,3.0,7.0,6.0,7.0,52.0,17.0,11.0,7.0,7.0,2.5,6
69,15.0,16.0,3.0,10.0,4.0,11.0,5.0,10.0,50.0,19.0,9.0,1.0,9.0,2.5,6
70,16.0,8.0,2.0,13.0,5.0,1.0,11.0,10.0,47.0,18.0,15.0,6.0,4.0,2.5,6
71,17.0,12.0,1.0,10.0,1.0,7.0,7.0,8.0,61.0,21.0,16.0,1.0,6.0,2.5,6
72,18.0,8.0,4.0,12.0,4.0,9.0,5.0,13.0,53.0,23.0,6.0,4.0,4.0,2.5,6
73,19.0,11.0,6.0,10.0,4.0,6.0,6.0,15.0,53.0,19.0,9.0,2.0,4.0,2.5,6
74,20.0,6.0,5.0,9.0,0.0,9.0,7.0,5.0,61.0,22.0,8.0,2.0,10.0,2.5,6
75,21.0,6.0,6.0,9.0,5.0,11.0,3.0,8.0,58.0,20.0,15.0,5.0,9.0,2.5,6
76,22.0,11.0,6.0,13.0,2.0,2.0,8.0,12.0,51.0,20.0,12.0,4.0,5.0,2.5,6
77,23.0,8.0,5.0,14.0,2.0,9.0,8.0,11.0,55.0,17.0,10.0,4.0,6.0,2.5,6
78,24.0,9.0,3.0,10.0,4.0,13.0,7.0,9.0,52.0,10.0,12.0,3.0,6.0,2.5,6
79,25.0,7.0,2.0,12.0,3.0,6.0,3.0,10.0,53.0,30.0,11.0,6.0,8.0,2.5,6
80,26.0,8.0,5.0,7.0,2.0,7.0,8.0,12.0,57.0,20.0,13.0,8.0,6.0,2.5,6
81,27.0,16.0,4.0,10.0,0.0,3.0,7.0,10.0,49.0,18.0,14.0,9.0,5.0,2.5,6
82,28.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,15.0,5.0,2.0,8.0,6.0,2.5,6
83,29.0,9.0,10.0,7.0,6.0,3.0,1.0,8.0,40.0,20.0,1.0,11.0,13.0,2.5,6
84,30.0,7.0,8.0,9.0,9.0,4.0,4.0,2.0,51.0,22.0,7.0,8.0,8.0,2.5,6
85,31.0,3.0,13.0,10.0,6.0,7.0,6.0,7.0,54.0,12.0,6.0,8.0,11.0,2.5,6
86,32.0,5.0,11.0,6.0,4.0,3.0,3.0,7.0,54.0,25.0,4.0,14.0,9.0,2.5,6
87,33.0,2.0,7.0,6.0,11.0,4.0,3.0,11.0,53.0,21.0,7.0,9.0,7.0,2.5,6
88,34.0,3.0,9.0,18.0,2.0,5.0,2.0,12.0,41.0,12.0,8.0,7.0,13.0,2.5,6
89,35.0,4.0,12.0,10.0,7.0,4.0,1.0,5.0,54.0,22.0,6.0,7.0,10.0,2.5,6
90,36.0,2.0,11.0,9.0,6.0,3.0,1.0,8.0,51.0,21.0,5.0,13.0,10.0,2.5,6
91,37.0,7.0,12.0,12.0,7.0,2.0,4.0,12.0,35.0,10.0,3.0,9.0,18.0,2.5,6
92,38.0,9.0,8.0,11.0,5.0,4.0,2.0,11.0,41.0,17.0,4.0,9.0,14.0,2.5,6
93,39.0,3.0,9.0,7.0,6.0,3.0,2.0,11.0,41.0,21.0,3.0,14.0,12.0,2.5,6
94,40.0,2.0,8.0,8.0,4.0,4.0,2.0,14.0,44.0,23.0,2.0,11.0,15.0,2.5,6
95,41.0,6.0,7.0,5.0,4.0,7.0,2.0,3.0,56.0,24.0,7.0,10.0,15.0,2.5,6
96,42.0,5.0,7.0,7.0,9.0,4.0,2.0,10.0,43.0,19.0,2.0,11.0,15.0,2.5,6
97,43.0,4.0,4.0,5.0,10.0,5.0,2.0,7.0,55.0,25.0,7.0,9.0,9.0,2.5,6
98,44.0,4.0,4.0,12.0,7.0,6.0,2.0,7.0,41.0,18.0,6.0,13.0,10.0,2.5,6
99,45.0,11.0,8.0,7.0,8.0,6.0,2.0,12.0,43.0,18.0,4.0,7.0,11.0,2.5,6
100,46.0,3.0,12.0,8.0,7.0,5.0,3.0,7.0,50.0,22.0,3.0,15.0,10.0,2.5,6
101,47.0,5.0,11.0,7.0,5.0,6.0,1.0,13.0,45.0,19.0,2.0,10.0,14.0,2.5,6
102,48.0,2.0,14.0,8.0,6.0,5.0,1.0,10.0,56.0,25.0,5.0,7.0,10.0,2.5,6
103,49.0,8.0,10.0,14.0,5.0,4.0,2.0,10.0,46.0,18.0,6.0,8.0,9.0,2.5,6
104,50.0,7.0,11.0,6.0,8.0,3.0,2.0,10.0,38.0,14.0,1.0,9.0,16.0,2.5,6
105,51.0,4.0,14.0,7.0,10.0,3.0,1.0,7.0,53.0,28.0,4.0,9.0,8.0,2.5,6
106,52.0,7.0,8.0,5.0,7.0,6.0,2.0,6.0,51.0,23.0,7.0,11.0,13.0,2.5,6
107,53.0,5.0,5.0,10.0,5.0,7.0,6.0,10.0,47.0,17.0,3.0,13.0,9.0,2.5,6
108,54.0,6.0,10.0,6.0,12.0,1.0,2.0,9.0,51.0,26.0,2.0,7.0,7.0,2.5,6
109,55.0,3.0,15.0,5.0,4.0,5.0,1.0,8.0,61.0,29.0,7.0,4.0,10.0,2.5,6
110,1.0,1.0,3.0,8.0,6.0,7.0,11.0,9.0,61.0,23.0,11.0,5.0,2.0,2.0,7
111,2.0,3.0,8.0,10.0,4.0,12.0,7.0,12.0,63.0,27.0,5.0,4.0,4.0,2.0,7
112,3.0,4.0,7.0,12.0,3.0,9.0,2.0,7.0,65.0,26.0,13.0,2.0,7.0,2.0,7
113,4.0,4.0,4.0,7.0,6.0,10.0,1.0,9.0,49.0,24.0,7.0,9.0,7.0,2.0,7
114,5.0,4.0,11.0,7.0,2.0,6.0,5.0,12.0,68.0,29.0,12.0,0.0,6.0,2.0,7
115,6.0,3.0,9.0,5.0,1.0,14.0,8.0,8.0,74.0,25.0,10.0,4.0,5.0,2.0,7
116,7.0,2.0,7.0,8.0,4.0,15.0,10.0,9.0,59.0,13.0,11.0,2.0,6.0,2.0,7
117,8.0,5.0,5.0,5.0,5.0,18.0,5.0,6.0,69.0,29.0,8.0,3.0,7.0,2.0,7
118,9.0,6.0,6.0,11.0,2.0,6.0,5.0,10.0,59.0,35.0,6.0,2.0,10.0,2.0,7
119,10.0,4.0,3.0,10.0,3.0,17.0,3.0,11.0,52.0,16.0,8.0,6.0,6.0,2.0,7
120,11.0,4.0,3.0,16.0,2.0,11.0,7.0,10.0,56.0,20.0,11.0,2.0,8.0,2.0,7
121,12.0,4.0,5.0,5.0,6.0,10.0,6.0,7.0,69.0,33.0,11.0,5.0,4.0,2.0,7
122,13.0,4.0,10.0,7.0,6.0,13.0,9.0,8.0,68.0,16.0,15.0,3.0,4.0,2.0,7
123,14.0,1.0,9.0,5.0,4.0,10.0,8.0,11.0,71.0,32.0,7.0,3.0,5.0,2.0,7
124,15.0,4.0,2.0,8.0,2.0,10.0,6.0,6.0,56.0,26.0,10.0,6.0,8.0,2.0,7
125,16.0,2.0,6.0,12.0,2.0,11.0,11.0,9.0,67.0,26.0,7.0,3.0,5.0,2.0,7
126,17.0,2.0,11.0,11.0,3.0,13.0,8.0,10.0,69.0,22.0,9.0,0.0,5.0,2.0,7
127,18.0,4.0,6.0,5.0,4.0,18.0,6.0,7.0,73.0,25.0,11.0,3.0,3.0,2.0,7
128,19.0,4.0,4.0,7.0,0.0,14.0,11.0,6.0,70.0,29.0,6.0,0.0,5.0,2.0,7
129,20.0,6.0,4.0,10.0,2.0,14.0,5.0,9.0,60.0,29.0,7.0,10.0,2.0,2.0,7
130,21.0,5.0,10.0,11.0,5.0,14.0,8.0,5.0,65.0,21.0,9.0,1.0,8.0,2.0,7
131,22.0,4.0,5.0,9.0,5.0,14.0,6.0,6.0,68.0,26.0,11.0,4.0,4.0,2.0,7
132,23.0,4.0,5.0,12.0,5.0,11.0,11.0,12.0,50.0,19.0,3.0,4.0,4.0,2.0,7
133,24.0,7.0,7.0,14.0,5.0,10.0,5.0,12.0,45.0,14.0,4.0,6.0,10.0,2.0,7
134,25.0,1.0,5.0,6.0,3.0,14.0,6.0,8.0,73.0,33.0,12.0,3.0,6.0,2.0,7
135,26.0,5.0,8.0,8.0,5.0,11.0,13.0,9.0,63.0,21.0,5.0,3.0,7.0,2.0,7
136,27.0,3.0,7.0,10.0,5.0,9.0,8.0,14.0,60.0,26.0,9.0,1.0,7.0,2.0,7
137,28.0,2.0,3.0,7.0,2.0,5.0,5.0,3.0,23.0,5.0,4.0,4.0,1.0,2.0,7
138,29.0,3.0,9.0,11.0,5.0,9.0,7.0,11.0,52.0,12.0,8.0,3.0,9.0,2.0,7
139,30.0,4.0,8.0,9.0,2.0,8.0,5.0,9.0,54.0,15.0,6.0,3.0,10.0,2.0,7
140,31.0,8.0,10.0,5.0,6.0,4.0,12.0,14.0,58.0,17.0,7.0,2.0,6.0,2.0,7
141,32.0,5.0,13.0,8.0,3.0,8.0,5.0,8.0,60.0,14.0,10.0,4.0,12.0,2.0,7
142,33.0,8.0,12.0,10.0,1.0,11.0,8.0,9.0,57.0,12.0,7.0,4.0,11.0,2.0,7
143,34.0,10.0,11.0,5.0,2.0,11.0,7.0,10.0,53.0,11.0,8.0,5.0,6.0,2.0,7
144,35.0,4.0,7.0,5.0,6.0,11.0,13.0,11.0,59.0,18.0,4.0,4.0,11.0,2.0,7
145,36.0,8.0,19.0,5.0,3.0,6.0,8.0,9.0,62.0,11.0,8.0,5.0,6.0,2.0,7
146,37.0,6.0,10.0,10.0,6.0,15.0,9.0,10.0,54.0,10.0,4.0,3.0,4.0,2.0,7
147,38.0,4.0,8.0,6.0,6.0,15.0,9.0,5.0,63.0,9.0,9.0,7.0,9.0,2.0,7
148,39.0,8.0,12.0,8.0,8.0,6.0,9.0,6.0,58.0,15.0,9.0,4.0,7.0,2.0,7
149,40.0,7.0,8.0,8.0,8.0,10.0,2.0,15.0,52.0,13.0,13.0,0.0,5.0,2.0,7
150,41.0,5.0,9.0,3.0,10.0,7.0,9.0,15.0,48.0,15.0,5.0,7.0,11.0,2.0,7
151,42.0,6.0,14.0,6.0,7.0,14.0,8.0,8.0,60.0,13.0,3.0,5.0,5.0,2.0,7
152,43.0,10.0,6.0,7.0,10.0,5.0,8.0,7.0,50.0,16.0,9.0,4.0,12.0,2.0,7
153,44.0,5.0,8.0,6.0,7.0,12.0,7.0,9.0,54.0,14.0,5.0,2.0,8.0,2.0,7
154,45.0,4.0,12.0,1.0,6.0,11.0,5.0,13.0,59.0,14.0,9.0,3.0,14.0,2.0,7
155,46.0,9.0,6.0,7.0,7.0,7.0,3.0,7.0,49.0,14.0,7.0,5.0,16.0,2.0,7
156,47.0,7.0,11.0,8.0,5.0,11.0,8.0,8.0,59.0,14.0,6.0,6.0,7.0,2.0,7
157,48.0,11.0,9.0,3.0,5.0,11.0,7.0,12.0,53.0,12.0,10.0,1.0,8.0,2.0,7
158,49.0,13.0,9.0,5.0,12.0,9.0,10.0,11.0,42.0,10.0,2.0,6.0,9.0,2.0,7
159,50.0,1.0,9.0,3.0,7.0,18.0,8.0,16.0,61.0,12.0,3.0,2.0,9.0,2.0,7
160,51.0,8.0,5.0,8.0,6.0,11.0,4.0,7.0,50.0,17.0,9.0,5.0,10.0,2.0,7
161,52.0,5.0,12.0,10.0,6.0,11.0,5.0,11.0,50.0,11.0,4.0,3.0,14.0,2.0,7
162,53.0,5.0,9.0,8.0,5.0,5.0,9.0,15.0,50.0,13.0,6.0,6.0,8.0,2.0,7
163,54.0,3.0,7.0,10.0,9.0,8.0,11.0,11.0,51.0,11.0,12.0,5.0,11.0,2.0,7
164,55.0,7.0,9.0,6.0,6.0,10.0,5.0,12.0,57.0,15.0,11.0,1.0,11.0,2.0,7
165,1.0,5.0,7.0,9.0,9.0,11.0,13.0,13.0,45.0,3.0,11.0,11.0,6.0,2.5,2
166,2.0,4.0,4.0,10.0,6.0,4.0,11.0,5.0,45.0,10.0,13.0,15.0,7.0,2.5,2
167,3.0,3.0,7.0,12.0,11.0,3.0,15.0,8.0,42.0,8.0,5.0,15.0,9.0,2.5,2
168,4.0,1.0,7.0,11.0,9.0,4.0,15.0,15.0,43.0,5.0,5.0,9.0,12.0,2.5,2
169,5.0,13.0,1.0,6.0,9.0,3.0,7.0,11.0,33.0,2.0,14.0,17.0,11.0,2.5,2
170,6.0,6.0,5.0,11.0,7.0,7.0,12.0,5.0,36.0,3.0,4.0,13.0,12.0,2.5,2
171,7.0,8.0,7.0,4.0,8.0,3.0,17.0,5.0,50.0,7.0,12.0,13.0,12.0,2.5,2
172,8.0,9.0,9.0,5.0,10.0,3.0,13.0,16.0,41.0,2.0,8.0,11.0,8.0,2.5,2
173,9.0,7.0,3.0,6.0,11.0,4.0,17.0,10.0,34.0,4.0,3.0,9.0,17.0,2.5,2
174,10.0,6.0,9.0,16.0,4.0,5.0,10.0,6.0,36.0,5.0,3.0,14.0,16.0,2.5,2
175,11.0,4.0,6.0,16.0,6.0,3.0,8.0,12.0,36.0,3.0,12.0,14.0,10.0,2.5,2
176,12.0,5.0,6.0,8.0,10.0,6.0,11.0,10.0,40.0,4.0,10.0,13.0,14.0,2.5,2
177,13.0,9.0,4.0,8.0,8.0,7.0,11.0,10.0,39.0,6.0,8.0,13.0,12.0,2.5,2
178,14.0,4.0,12.0,9.0,10.0,8.0,8.0,7.0,46.0,9.0,7.0,13.0,11.0,2.5,2
179,15.0,10.0,4.0,12.0,4.0,3.0,13.0,8.0,37.0,5.0,7.0,15.0,8.0,2.5,2
180,16.0,3.0,8.0,10.0,9.0,6.0,12.0,9.0,44.0,3.0,11.0,17.0,6.0,2.5,2
181,17.0,8.0,5.0,12.0,10.0,4.0,12.0,10.0,37.0,4.0,9.0,8.0,14.0,2.5,2
182,18.0,10.0,6.0,11.0,4.0,7.0,11.0,14.0,35.0,1.0,5.0,12.0,13.0,2.5,2
183,19.0,6.0,8.0,6.0,8.0,1.0,14.0,9.0,42.0,8.0,10.0,17.0,12.0,2.5,2
184,20.0,8.0,7.0,18.0,4.0,10.0,7.0,8.0,41.0,4.0,10.0,7.0,8.0,2.5,2
185,21.0,8.0,8.0,8.0,9.0,2.0,11.0,14.0,37.0,2.0,12.0,11.0,9.0,2.5,2
186,22.0,6.0,7.0,11.0,11.0,2.0,12.0,9.0,41.0,11.0,6.0,8.0,14.0,2.5,2
187,23.0,8.0,5.0,6.0,5.0,3.0,10.0,10.0,41.0,8.0,10.0,13.0,9.0,2.5,2
188,24.0,5.0,7.0,8.0,7.0,8.0,12.0,6.0,51.0,7.0,9.0,10.0,11.0,2.5,2
189,25.0,5.0,6.0,13.0,10.0,9.0,11.0,13.0,37.0,1.0,6.0,11.0,11.0,2.5,2
190,26.0,3.0,5.0,12.0,12.0,2.0,13.0,8.0,38.0,9.0,7.0,11.0,16.0,2.5,2
191,27.0,8.0,7.0,7.0,10.0,3.0,14.0,5.0,40.0,1.0,11.0,20.0,10.0,2.5,2
192,28.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,24.0,3.0,8.0,4.0,10.0,2.5,2
193,29.0,7.0,8.0,1.0,0.0,9.0,5.0,7.0,59.0,18.0,10.0,4.0,10.0,2.5,2
194,30.0,4.0,5.0,3.0,1.0,9.0,4.0,5.0,63.0,20.0,13.0,9.0,15.0,2.5,2
195,31.0,7.0,5.0,5.0,4.0,9.0,2.0,9.0,54.0,23.0,9.0,13.0,8.0,2.5,2
196,32.0,5.0,8.0,1.0,2.0,9.0,3.0,6.0,66.0,22.0,16.0,7.0,13.0,2.5,2
197,33.0,6.0,12.0,3.0,1.0,14.0,1.0,5.0,70.0,18.0,12.0,8.0,7.0,2.5,2
198,34.0,3.0,3.0,2.0,3.0,13.0,4.0,7.0,63.0,22.0,11.0,7.0,6.0,2.5,2
199,35.0,9.0,9.0,4.0,2.0,8.0,2.0,12.0,61.0,22.0,5.0,5.0,6.0,2.5,2
200,36.0,7.0,4.0,4.0,2.0,5.0,3.0,11.0,54.0,16.0,17.0,14.0,8.0,2.5,2
201,37.0,6.0,9.0,3.0,4.0,10.0,2.0,6.0,61.0,19.0,11.0,8.0,12.0,2.5,2
202,38.0,4.0,4.0,4.0,2.0,8.0,4.0,13.0,55.0,15.0,12.0,8.0,14.0,2.5,2
203,39.0,2.0,6.0,3.0,2.0,9.0,2.0,11.0,49.0,19.0,8.0,9.0,16.0,2.5,2
204,40.0,4.0,8.0,3.0,4.0,18.0,3.0,6.0,59.0,11.0,14.0,4.0,19.0,2.5,2
205,41.0,6.0,3.0,2.0,3.0,9.0,1.0,7.0,56.0,26.0,7.0,13.0,12.0,2.5,2
206,42.0,4.0,8.0,1.0,5.0,8.0,2.0,8.0,63.0,19.0,14.0,9.0,10.0,2.5,2
207,43.0,5.0,7.0,3.0,2.0,8.0,3.0,4.0,69.0,25.0,17.0,10.0,7.0,2.5,2
208,44.0,3.0,8.0,2.0,3.0,8.0,3.0,6.0,53.0,14.0,11.0,12.0,19.0,2.5,2
209,45.0,3.0,9.0,3.0,1.0,11.0,2.0,8.0,58.0,16.0,15.0,9.0,13.0,2.5,2
210,46.0,9.0,6.0,2.0,7.0,11.0,4.0,5.0,57.0,13.0,10.0,10.0,8.0,2.5,2
211,47.0,7.0,3.0,2.0,4.0,12.0,2.0,5.0,56.0,17.0,13.0,11.0,14.0,2.5,2
212,48.0,6.0,7.0,5.0,5.0,7.0,2.0,9.0,52.0,16.0,11.0,10.0,12.0,2.5,2
213,49.0,4.0,5.0,5.0,2.0,11.0,4.0,6.0,64.0,19.0,12.0,10.0,9.0,2.5,2
214,50.0,6.0,5.0,7.0,2.0,5.0,3.0,4.0,48.0,18.0,7.0,14.0,17.0,2.5,2
215,51.0,4.0,4.0,3.0,7.0,9.0,1.0,11.0,50.0,20.0,11.0,10.0,10.0,2.5,2
216,52.0,7.0,4.0,2.0,5.0,9.0,1.0,5.0,61.0,24.0,18.0,7.0,11.0,2.5,2
217,53.0,6.0,4.0,2.0,4.0,7.0,3.0,7.0,51.0,10.0,15.0,10.0,19.0,2.5,2
218,54.0,6.0,5.0,4.0,2.0,7.0,3.0,11.0,56.0,21.0,9.0,9.0,12.0,2.5,2
219,55.0,8.0,5.0,2.0,4.0,9.0,6.0,7.0,61.0,20.0,6.0,9.0,9.0,2.5,2
220,1.0,4.0,9.0,5.0,10.0,6.0,7.0,10.0,52.0,16.0,10.0,10.0,8.0,3.5,4
221,2.0,2.0,9.0,7.0,6.0,9.0,3.0,8.0,51.0,12.0,10.0,14.0,10.0,3.5,4
222,3.0,1.0,8.0,7.0,14.0,6.0,6.0,11.0,45.0,14.0,6.0,10.0,5.0,3.5,4
223,4.0,4.0,15.0,5.0,8.0,6.0,5.0,14.0,51.0,11.0,9.0,12.0,6.0,3.5,4
224,5.0,0.0,15.0,6.0,10.0,4.0,7.0,11.0,50.0,10.0,13.0,14.0,9.0,3.5,4
225,6.0,2.0,14.0,9.0,8.0,8.0,5.0,14.0,49.0,11.0,7.0,6.0,10.0,3.5,4
226,7.0,5.0,12.0,13.0,8.0,6.0,5.0,9.0,44.0,11.0,6.0,8.0,5.0,3.5,4
227,8.0,3.0,8.0,5.0,12.0,5.0,8.0,10.0,47.0,13.0,8.0,15.0,8.0,3.5,4
228,9.0,2.0,7.0,7.0,11.0,12.0,4.0,14.0,46.0,11.0,9.0,7.0,13.0,3.5,4
229,10.0,1.0,7.0,8.0,18.0,8.0,4.0,4.0,50.0,20.0,6.0,14.0,5.0,3.5,4
230,11.0,4.0,18.0,3.0,12.0,5.0,4.0,14.0,53.0,13.0,9.0,8.0,6.0,3.5,4
